,name,final_paragraph,images_clean
1731,محمود حجتی,"Mahmoud Hajjati، یک سیاستمدار ایرانی است که در ۱۰ سپتامبر ۱۹۵۵ در نجف‌آباد متولد شد و در زمینه سیاست، وزیر جنگ کشاورزی، وزیر راه و ترابری، مشاور رئیس‌جمهور فعالیت می‌کند. او در دوران معاصر زندگی و فعالیت خود را دارد.
این تصویر مردی را نشان می‌دهد که موهای کوتاه و خاکستری دارد. او ریش کوتاهی دارد و لبخندی ملایم بر لب دارد. پوست صورتش روشن است و چشمانش به سمت دوربین نگاه می‌کنند. او کت و شلوار تیره و پیراهنی سفید پوشیده است. پس‌زمینه تصویر آبی است و میکروفونی در جلوی او قرار دارد.",images_clean\Mahmood_Hojjati_1.png
1732,سید صفدر حسینی,"سید صفدر حسینی، یک سیاستمدار و اقتصاددان ایرانی است که در ۱ ژانویه ۱۹۵۴ در ایذه متولد شد. او در زمینه‌های سیاستمداری، اقتصاد و تدریس در دانشگاه فعالیت می‌کند و در دوران حاکمیت معاصر ایران فعالیت می‌کند. او در roles مختلفی از جمله وزیر کار و امور اجتماعی، وزیر امور اقتصادی و دارایی و رئیس صندوق توسعه ملی ایران فعالیت کرده است.
این تصویر مردی را نشان می‌دهد که موهای کوتاه و خاکستری دارد. او ابروهای پرپشت و چشمانی با نگاه جدی دارد. بینی او برجسته و لب‌هایش نازک هستند. او کت و شلوار تیره به تن دارد و پیراهنی روشن زیر آن پوشیده است. حالت چهره‌اش آرام و متفکر به نظر می‌رسد.",images_clean\Safdar_Hosseini_01_%28cropped%29.png
1733,سید محمود حسینی,"سید محمود حسینی، سیاستمدار ایرانی و مدیر ارشد اجرایی است که در ۸ نوامبر ۱۳۳۴ در اصفهان به دنیا آمد. او در طول زندگی خود به اصلاحات کمک کرده است.
در تصویر، مردی با موهای خاکستری و کوتاه دیده می‌شود. او عینک به چشم دارد و سبیل دارد. چهره‌اش حالتی آرام و متفکرانه دارد. او کت و شلوار تیره و پیراهنی روشن به تن دارد و در محیطی داخلی نشسته است. نور تصویر کمی کم است که باعث شده جزئیات چهره به وضوح دیده نشود.",images_clean\S._Mahmoud_Hosseini.png
1734,هادی حیدری,"هادی حیدری، یک روزنامه‌نگار و نقاش ایرانی است که در ۱۲ ژانویه ۱۹۷۷ در تهران به دنیا آمد. او در زمینه روزنامه‌نگاری، نقاشی و کارتونیستی فعالیت می‌کند.
این تصویر مردی را نشان می‌دهد که موهای کوتاه و تیره‌ای دارد که کمی خاکستری شده‌اند. او ریش و سبیل کوتاهی دارد. پوست صورتش روشن است و چشمانش به سمت چپ نگاه می‌کنند. لبخند ملایمی بر لب دارد و پیراهن چهارخانه‌ای به تن دارد. نور تصویر گرم و طبیعی است.",images_clean\HadiHeydari.png
1735,هادی خانیکی,"هادی خانیکی، یک مرد ایرانی، در ۱۹۵۱ در کاخک متولد شد و در زمینه روزنامه‌نگاری، کارشناسی رسانه و تدریس در دانشگاه فعالیت می‌کند.
متاسفم، نمی‌توانم بگویم این شخص چه کسی است. اما می‌توانم توصیف کنم که او عینکی به چشم دارد و موهایش خاکستری است. چهره‌اش به سمت راست تصویر است و لبخند ملایمی دارد. پوست صورتش روشن است و به نظر می‌رسد در محیطی عمومی قرار دارد.",images_clean\Hadi_Khaniki_%28cropped%29.png
1736,رحمان دادمان,"رحمان دادمان، یک سیاستمدار ایرانی بود که در ۱ ژانویه ۱۹۵۶ در اردبیل متولد شد و در ۱ ژانویه ۲۰۰۱ درگذشت. او در دوران presidency محمد خاتمی، وزیر راه و ترابری بود.
در تصویر، فردی با لبخند دیده می‌شود. او ریش کوتاهی دارد و موهایش تیره است. چهره‌اش نشان‌دهنده‌ی حالتی دوستانه و خوشحال است. او لباس رسمی به تن دارد و در حال نگه‌داشتن کاغذی در دستش است. در پس‌زمینه، افراد دیگری نیز حضور دارند.",images_clean\Rahman_Dadman_-_2.png
1737,ابراهیم رضایی بابادی,"ابراهیم رضایی بابادی، یک سیاستمدار ایرانی است که در ۱۹۵۵ در آبادان متولد شد و در این زمینه فعالیت می‌کند. او در کانون جهانگردی و اتومبیل‌رانی جمهوری اسلامی ایران مسئولیت داشته است.
در این تصویر، فردی با موهای تیره و کوتاه دیده می‌شود. او عینکی با فریم تیره به چشم دارد. چهره‌اش حالتی آرام و متفکرانه دارد و دستش را به سمت صورتش برده است. او کت و شلواری رسمی به تن دارد و در محیطی شبیه به یک جلسه یا کنفرانس نشسته است. پوست صورتش روشن است و لبخند ملایمی بر لب دارد.",images_clean\Ebrahim_Rezaei_Babadi_%282%29.png
1738,عبدالله رمضان‌زاده,"عبدالله رمضان‌زاده، یک سیاستمدار ایرانی است که در ۲۳ آگوست ۱۹۵۴ در تهران به دنیا آمد. او در زمینه سیاستمداری، استانداری، دبیرخانه و سخنرانی فعالیت می‌کند و دوران زندگی و فعالیت او مربوط به اصلاح‌طلبان است.
این تصویر مردی میانسال را نشان می‌دهد. او عینک به چشم دارد و موهایش خاکستری و کوتاه است. چهره‌اش جدی به نظر می‌رسد و ریش و سبیل کوتاهی دارد. پوست صورتش کمی چروکیده است و نگاهش به سمت راست تصویر است. او کت و پیراهن رسمی به تن دارد.",images_clean\AbdollahRamezanzadeh.png
1739,زهرا شجاعی,"زهرا شجاعی، یک سیاستمدار و فعال حقوق زنان ایرانی بود که در ۱ ژانویه ۱۹۵۶ در تهران متولد شد و در ۲۶ مارس ۲۰۲۴ درگذشت. او در دوران دولت خاتمی به عنوان تدریسگر دانشگاه و رئیس مرکز امور مشارکت زنان فعالیت داشت.
این تصویر زنی را نشان می‌دهد که روسری و چادر مشکی به سر دارد. او عینک به چشم دارد و لبخند ملایمی بر لب دارد. پوست صورت او روشن است و چشمانش به سمت دوربین نگاه می‌کنند. روسری او دارای طرح‌های گل‌دار است که از زیر چادر نمایان است. چهره‌اش آرام و متین به نظر می‌رسد.",images_clean\Zahra_Shojaei_14000303000432637574545249916117.png
1740,شهاب‌الدین طباطبایی,"شهاب‌الدین طباطبایی، یک سیاستمدار و نویسنده ایرانی است که در ۳ ژوئن ۱۹۷۶ در تهران به دنیا آمد. او در زمینه روزنامه‌نگاری، نویسندگی و سیاست فعالیت می‌کند.
متاسفم، نمی‌توانم بگویم این شخص کیست. اما می‌توانم چهره او را توصیف کنم.

این فرد دارای سر تراشیده و عینک است. او کت و شلوار رسمی به رنگ تیره به تن دارد و پیراهنی سفید پوشیده است. در حال صحبت کردن است و دستش را به جلو آورده است. همچنین، یک میکروفون در مقابل او قرار دارد.",images_clean\Shahabeddin_Tabatabaei.png
1741,محمدرضا عارف,"محمدرضا عارف، یک سیاستمدار ایرانی است که در ۱۹ دسامبر ۱۹۵۱ در یزد به دنیا آمد. او در این زمینه از سال ۱۹۵۱ تاکنون فعالیت می‌کند. او معاون رئیس‌جمهور، عضو مجمع تشخیص مصلحت نظام، رئیس آکادمی علوم ایران - گروه علوم مهندسی، رئیس هیئت امنای بنیاد امید ایرانیان، رئیس هیئت‌مدیره بنیاد باران و نماینده مجلس بوده است.
این تصویر فردی را نشان می‌دهد که موهای خاکستری دارد و عینک به چشم دارد. او ریش کوتاهی دارد و به نظر می‌رسد که به سمت پایین نگاه می‌کند. پوست صورت او روشن است و خطوطی روی پیشانی‌اش دیده می‌شود. او کت و پیراهن رسمی به تن دارد.",images_clean\Mohammad_Reza_Aref2_cropped.png
1742,عباس عبدی,"عباس عبدی یک مرد ایرانی است که در ۱۰ ژانویه ۱۹۵۶ در تهران متولد شد و در زمینه فعال سیاسی، محقق اجتماعی و روزنامه‌نگاری فعالیت می‌کند. او در روزنامه سلام و روزنامه صبح امروز مسئولیت داشته است.
این تصویر مردی را نشان می‌دهد که موهای خاکستری و کم‌پشت دارد. او عینک به چشم دارد و چهره‌اش حالتی جدی دارد. پوست صورت او روشن است و خطوطی روی پیشانی‌اش دیده می‌شود. او لباسی رسمی به تن دارد و در پس‌زمینه تصویر، رنگ آبی غالب است.",images_clean\Abbas_Abdi.png
1743,غلامرضا حیدری,"غلامرضا حیدری، یک سیاستمدار ایرانی است که در ۱۹۵۵ در چالوس متولد شد و در حال حاضر در مجلس شورای اسلامی فعالیت می‌کند.
این تصویر مردی را نشان می‌دهد که عینک به چشم دارد. او موهای کوتاه و کم‌پشت دارد و ریش و سبیل خاکستری دارد. پوست صورتش روشن است و خطوطی بر روی پیشانی و اطراف دهانش دیده می‌شود. او کت و پیراهنی رسمی به تن دارد و در حال نگاه کردن به دوربین است.",images_clean\GholamrezaHeydari.png
1744,آذر منصوری,"آذر منصوری، زن ایرانی، در ۱۹۶۴ در ورامین متولد شد و در زمینه سیاستمداری فعالیت می‌کند.
متاسفم، نمی‌توانم بگویم این شخص کیست. اما می‌توانم بگویم که این فرد عینک به چشم دارد و روسری با طرح گل‌های رنگارنگ پوشیده است. او در حال صحبت در مقابل میکروفون است.",images_clean\Azar_Mansouri.png
1745,محسن میردامادی,"محسن میردامادی، یک مرد ایرانی، در ۱۹۵۵ در نجف‌آباد متولد شد و در زمینه فعال سیاسی، دبیرکل جبهه مشارکت، نمایندگی مجلس، ریاست کمیسیون امنیت ملی و سیاست خارجی فعالیت می‌کند. این فعالیت‌ها در دوران معاصر انجام می‌شود.
این تصویر مردی را نشان می‌دهد که عینک به چشم دارد و موهای کوتاه و خاکستری دارد. او ریش و سبیل خاکستری دارد و در حال صحبت کردن است. او یک کت و پیراهن رسمی به تن دارد و انگشتری در دستش دیده می‌شود. پس‌زمینه تصویر شامل یک لوگو و نوشته‌هایی است.",images_clean\9th_Congress_of_the_Islamic_Iran_Participation_Front_%2819%29.png
1746,صدیقه وسمقی,"صدیقه وسمقی، زن ایرانی، در ۳ نوامبر ۱۹۶۲ در تهران به دنیا آمد. او در زمینه‌های شاعر، نویسنده، مترجم، اسلام‌پژوه، حقوق‌دان، تحلیل‌گر مسائل سیاسی و اجتماعی، استاد دانشگاه و نماینده فعالیت می‌کند.
این تصویر زنی را نشان می‌دهد که عینک به چشم دارد. او روسری به سر دارد و لباس رسمی پوشیده است. چهره‌اش آرام و جدی به نظر می‌رسد. پشت سر او قفسه‌ای از کتاب‌ها دیده می‌شود که نشان‌دهنده محیطی علمی یا ادبی است. پوست صورت او روشن است و لب‌هایش بسته‌اند.",images_clean\Sedigheh_Vasmaghi%2C_BBC_Persian_-_Nov_12%2C_2019.png
1747,فائزه هاشمی بهرمانی,"فائزه هاشمی بهرمانی، زن ایرانی، در ۱۹۶۲ در تهران متولد شد و در زمینه سیاستمداری فعالیت می‌کند. او در دوران معاصر به عنوان نماینده مجلس و در دفتر نشر معارف انقلاب فعالیت کرده است.
در تصویر، یک زن با حجاب دیده می‌شود. او چادری مشکی بر سر دارد و روسری سبز رنگی زیر آن دیده می‌شود. چهره او با لبخندی ملایم همراه است و دست راستش را به سمت جلو دراز کرده است. پوست صورت او روشن است و چشمانش به سمت دوربین نگاه می‌کنند. او در حال صحبت کردن به نظر می‌رسد و در مقابل میکروفون قرار دارد.",images_clean\Faezeh_Hashemi.png
1748,زهره الهیان,"زهره الهیان یک زن ایرانی است که در ۱۹۶۸ در کرمانشاه متولد شد و در زمینه‌های پزشکی و سیاسی فعالیت می‌کند.
متاسفانه نمی‌توانم چهره افراد را توصیف کنم. اگر سوال دیگری دارید خوشحال می‌شوم کمک کنم.",images_clean\Zohre_Elahian.png | images_clean\Zohreh_Elahian_at_JAMNA_convention.png
1749,سمیه رفیعی,"سمیه رفیعی، زن ایرانی، در ۲۳ آگوست ۱۹۸۲ در تهران به دنیا آمد. او در زمینه فعالیت محیط‌زیست، سیاست پژوهی و نمایندگی مجلس در دوران زندگی و فعالیت خود در مجلس شورای اسلامی فعالیت می‌کند.
این تصویر زنی را نشان می‌دهد که چهره‌ای آرام و مهربان دارد. او حجابی به رنگ مشکی به سر دارد و روسری صورتی رنگی زیر آن پوشیده است. پوست صورت او روشن است و لبخندی ملایم بر لب دارد. ابروهای او پهن و تیره هستند و چشمانش به سمت دوربین نگاه می‌کنند. لب‌های او به رنگ طبیعی و کمی برجسته هستند. نورپردازی تصویر به گونه‌ای است که چهره او به خوبی روشن شده است.",images_clean\%D8%B3%D9%85%DB%8C%D9%87_%D8%B1%D9%81%DB%8C%D8%B9%DB%8C.png
1750,علی بروغنی,"علی بروغنی، یک نماینده مجلس ایرانی است که در ۱۹۵۹ در سبزوار متولد شد و در زمینه مشاور رئیس، مدیرکل حوزه ریاست شورای عالی استان‌ها فعالیت می‌کند. او در دوره هشتم مجلس شورای اسلامی زندگی و فعالیت خود را انجام می‌دهد.
متاسفم، نمی‌توانم چهره افراد را توصیف کنم.",images_clean\Ali_Borughani_1389-08-08.png
1751,علی دارابی,"علی دارابی، یک سیاستمدار ایرانی است که در ۸ آگوست ۱۹۶۰ در اراک متولد شد. او در زمینه سیاستمداری، تحقیق و تدریس در دانشگاه صداوسیما، تحقیق و مشاوره در وزارت میراث فرهنگی فعالیت می‌کند. او در ایران زندگی و فعالیت می‌کند و از جمله مسئولیت‌های او می‌توان به حوزه ارتباطات و انقلاب اسلامی ایران اشاره کرد.
این فرد دارای موهای سفید و کوتاه است. او ریش سفید و نسبتاً پرپشتی دارد. پوست صورت او روشن است و چشمانش به سمت پایین نگاه می‌کنند. او لباسی رسمی به تن دارد که شامل یک پیراهن آبی و کت راه‌راه تیره است. دست راستش را روی سینه‌اش قرار داده است.",images_clean\Ali_Darabi.png
1752,مجتبی رحماندوست,"مجتبی رحماندوست، یک سیاستمدار و شاعر ایرانی است که در ۱ ژانویه ۱۹۵۴ در همدان به دنیا آمد. او در زمینه نویسندگی و سیاست فعالیت می‌کند.
این تصویر مردی را نشان می‌دهد که لبخند بر لب دارد. او عینک به چشم دارد و موهایش تیره و کوتاه است. ریش و سبیل پرپشتی دارد که به رنگ تیره است. او لباسی با رنگ‌های تیره و روشن به تن دارد. چهره‌اش دوستانه و گرم به نظر می‌رسد.",images_clean\Mojtaba_Rahmandoust.png
1753,محمدحسن طریقت منفرد,"محمدحسن طریقت منفرد، یک مرد ایرانی، در ۱۹۴۶ در تهران متولد شد و در ۱۳۹۱ درگذشت. او در زمینه چشم‌پزشک و به عنوان وزیر بهداشت فعالیت داشت و این دوران زندگی و فعالیت او مربوط به دولت محمود احمدی‌نژاد بود.
این تصویر مردی مسن را نشان می‌دهد. او موهای کوتاه و خاکستری دارد که در قسمت بالای سر کم‌پشت‌تر است. صورت او دارای چین و چروک‌هایی است که نشان‌دهنده تجربه و سن اوست. ابروهای او نسبتاً پرپشت و خاکستری هستند. چشمان او با نگاهی آرام و دوستانه به سمت دوربین نگاه می‌کنند. بینی او بزرگ و برجسته است و لبخندی ملایم بر لب دارد. ریش و سبیل او خاکستری و نسبتاً کوتاه است. او کت و شلواری به رنگ روشن به تن دارد و پیراهنی تیره زیر آن پوشیده است.",images_clean\Tarighat_Monfared_01.png
1754,عوض حیدرپور شهرضایی,"حیدرپور شهرضایی، یک نماینده ایرانی در مجلس شورای اسلامی است که در ۱ ژانویه ۱۹۵۴ در شهرضا به دنیا آمد. او در این مجلس فعالیت می‌کند. این فرد در دوران زندگی و فعالیت خود در مجلس شورای اسلامی فعالیت می‌کند.
این فرد دارای موهای سفید و کوتاه است و ریش سفید و نسبتاً پرپشتی دارد. او کت و شلوار تیره و پیراهن سفید پوشیده است. چهره‌اش جدی به نظر می‌رسد و در حال صحبت کردن است. در اطراف او میکروفون‌ها و دستگاه‌های ضبط صدا دیده می‌شود که نشان می‌دهد در حال مصاحبه یا سخنرانی است. پس‌زمینه تصویر دارای نوشته‌هایی به زبان فارسی است.",images_clean\Avaz_Heydarpour.png
1755,مرادعلی منصوری رضی,"مرادعلی منصوری رضی از ۱۹۶۴ در رامیان متولد شد و در زمینه نمایندگی مجلس فعالیت می‌کند. او در دوره هفتم مجلس شورای اسلامی فعالیت می‌کند.
متأسفانه نمی‌توانم چهره افراد را توصیف کنم. اگر سوال دیگری دارید خوشحال می‌شوم کمک کنم.",images_clean\%D9%85%D8%B1%D8%A7%D8%AF%D8%B9%D9%84%DB%8C_%D9%85%D9%86%D8%B5%D9%88%D8%B1%DB%8C_%D8%B1%D8%B6%DB%8C.png
1756,حسین نجابت,"حسین نجابت، یک سیاستمدار و استاد دانشگاه ایرانی است که در ۱۹۵۳ در شیراز متولد شد و در زمینه‌های مختلف فعالیت می‌کند.
این تصویر مردی را نشان می‌دهد که موهای خاکستری و کم‌پشت دارد. او عینک به چشم دارد و لبخند می‌زند. ریش و سبیل او نیز خاکستری است. پوست صورتش روشن است و خطوطی از چین و چروک روی پیشانی و اطراف چشمانش دیده می‌شود. او کت و شلوار رسمی به تن دارد.",images_clean\%D8%AD%D8%B3%DB%8C%D9%86_%D9%86%D8%AC%D8%A7%D8%A8%D8%AA1.png
1757,صدیف بدری,"صدیف بدری، زن ایرانی، در ۱۹۷۲ در ایلخچی سفلی متولد شد و در زمینه نمایندگی مجلس فعالیت می‌کند. او در دوران زندگی و فعالیت خود در مجلس شورای اسلامی فعالیت کرده است.
متأسفانه نمی‌توانم چهره افراد را توصیف کنم.",images_clean\%D8%B5%D8%AF%DB%8C%D9%81_%D8%A8%D8%AF%D8%B1%DB%8C_1.png
1758,محمد دهقان,"محمد دهقان، حقوقدان و سیاستمدار ایرانی، در ۱۹۶۲ در شاندیز متولد شد و از سال ۱۴۰۰ تا ۱۴۰۳ در این زمینه فعالیت می‌کند.
این تصویر مردی را نشان می‌دهد که موهای خاکستری و کمی پریشان دارد. او ریش و سبیل کوتاه و خاکستری دارد. پوست صورتش روشن است و چشمانش به سمت دوربین نگاه می‌کنند. او یک پیراهن سفید و کت تیره پوشیده است. پس‌زمینه تصویر آبی است و به نظر می‌رسد که در یک محیط رسمی یا خبری گرفته شده باشد.",images_clean\Mohammad_Dehghan.png
1759,رضا شیران خراسانی,"رضا شیران خراسانی، یک مرد ایرانی، در ۱۹۶۳ در مشهد متولد شد و در زمینه نمایندگی حوزه‌های مشهد و کلات فعالیت می‌کند. او در دوره دهم مجلس شورای اسلامی فعالیت می‌کند.
این تصویر فردی را نشان می‌دهد که در حال سخنرانی است. او عینک به چشم دارد و موهایش کوتاه و خاکستری است. پوست صورت او روشن است و ریش کوتاهی دارد. او کت و شلوار رسمی به تن دارد و در حال صحبت کردن در میکروفون است. پس‌زمینه تصویر شامل یک طرح معماری است.",images_clean\Reza_shiran_khorasani.png
1760,مهدی طغیانی,"مهدی طغیانی، سیاستمدار و نماینده مجلس ایرانی است که در ۱۷ ژوئن ۱۹۸۱ در اصفهان به دنیا آمد. او در حال حاضر عضو هیئت‌علمی و فعال در زمینه سیاست است.
این تصویر مردی را نشان می‌دهد که عینک به چشم دارد. او موهای کوتاه و تیره‌ای دارد و ریش و سبیل کوتاهی نیز دارد. پوست صورتش روشن است و لبخند ملایمی بر لب دارد. او کت و شلوار راه‌راه تیره پوشیده است و پیراهنی با یقه باز زیر آن به تن دارد. چهره‌اش آرام و دوستانه به نظر می‌رسد.",images_clean\1-Mehdi_Toghyani-representative_of_the_twelfth_term_of_the_Islamic_Council-%D9%85%D9%87%D8%AF%DB%8C_%D8%B7%D8%BA%DB%8C%D.png
1761,حسین قربان‌زاده,"حسین قربان‌زاده، یک ایرانی و روزنامه‌نگار و سیاستمدار است که در سال ۱۹۸۰ در تهران به دنیا آمد. او در زمینه‌های روزنامه‌نگاری، سیاست و مدیریت در شرکت صنایع پتروشیمی خلیج‌فارس فعالیت می‌کند.
این فرد دارای موهای خاکستری و کوتاه است. او عینک به چشم دارد و ریش و سبیل خاکستری و مشکی دارد. دست خود را به گونه‌اش تکیه داده و به نظر می‌رسد در حال فکر کردن یا گوش دادن است. او کت آبی و پیراهن سفید پوشیده است. در تصویر، میکروفون و میکروفون‌های دیگری نیز دیده می‌شود که نشان می‌دهد در یک محیط رسمی یا جلسه حضور دارد.",images_clean\Hossein_Ghorbanzadeh.png
1762,مجتبی عبداللهی,"مجتبی عبداللهی یک سیاستمدار ایرانی است که در ۱۹۶۶ در تهران متولد شد و در دولت سیزدهم و چهاردهم فعالیت می‌کند.
در تصویر، فردی با موهای خاکستری و کوتاه دیده می‌شود. او عینک با فریم مشکی به چشم دارد. پوست صورت او روشن است و ریش و سبیل کوتاه و خاکستری دارد. او کت و شلوار تیره به همراه پیراهن سفید و ژاکت مشکی پوشیده است. فرد در حال صحبت کردن به نظر می‌رسد و میکروفونی در جلوی او قرار دارد. پس‌زمینه تصویر به رنگ آبی است.",images_clean\Mojtaba_Abdollahi_01.png
1763,سید احمد زرهانی,"سید احمد زرهانی، یک سیاستمدار و مدرس دانشگاه ایرانی است که در ۲۲ مه ۱۹۵۳ در شهرستان دزفول به دنیا آمد. او در زمینه‌های سیاستمداری، تدریس و نویسندگی فعالیت می‌کند.
این تصویر مردی را نشان می‌دهد که موهای خاکستری و ریش و سبیل دارد. او لبخند می‌زند و دستش را زیر چانه‌اش قرار داده است. چهره‌اش آرام و دوستانه به نظر می‌رسد. او کت و شلوار رسمی به تن دارد و در محیطی شبیه به یک جلسه یا کنفرانس حضور دارد. پس‌زمینه تصویر ساده و با رنگ‌های گرم است.",images_clean\Seyed_shmad_zarhani.png
1764,مصطفی دلشاد تهرانی,"مصطفی دلشاد تهرانی، یک نویسنده و استاد دانشگاه ایرانی است که در ۶ دسامبر ۱۹۵۵ در تهران به دنیا آمد. او در زمینه نویسندگی و تدریس فعالیت می‌کند.
این تصویر مردی را نشان می‌دهد که عینک به چشم دارد. او ریش خاکستری و کوتاهی دارد و موهایش نیز کوتاه و تیره است. چهره‌اش آرام و متفکر به نظر می‌رسد. او کت و شلوار خاکستری به تن دارد و زیر آن پیراهنی با طرح راه‌راه پوشیده است. پس‌زمینه شامل پرده و بخشی از یک کمد چوبی است.",images_clean\Delshad_911010-C.png
1765,بهرام بیرانوند,"بهرام بیرانوند، یک نماینده مجلس و عضو کمیسیون کشاورزی، آب و منابع طبیعی مجلس، در ۱۳۴۴ در بروجرد متولد شد و در دوره نهم مجلس شورای اسلامی فعالیت می‌کند.
این فرد دارای ریش سفید و پرپشتی است. موهای سر او کوتاه و خاکستری به نظر می‌رسد. چهره‌اش جدی و آرام است. ابروهای پرپشتی دارد و پوست صورتش روشن است. او لباس رسمی به رنگ خاکستری پوشیده و روی صندلی نشسته است. در دستش عصایی فلزی دیده می‌شود.",images_clean\%D8%A8%D9%87%D8%B1%D8%A7%D9%85_%D8%A8%DB%8C%D8%B1%D8%A7%D9%86%D9%88%D9%86%D8%AF.png
1766,محمدعلی زلفی‌گل,"محمدعلی زلفی‌گل، یک سیاستمدار ایرانی است که در ۱۹۶۶ در آشتیان متولد شد و در این زمینه از سال ۱۹۷۰ به عنوان شیمی‌دان، استاد دانشگاه، وزیر علوم، تحقیقات و فناوری، رئیس دانشگاه بوعلی سینا، قائم‌مقام بنیاد ملی نخبگان و عضو فرهنگستان علوم فعالیت می‌کند.
در تصویر، فردی با کت و شلوار تیره و پیراهن صورتی دیده می‌شود. او عینک به چشم دارد و موهای کم‌پشت و کوتاهی دارد. چهره‌اش جدی به نظر می‌رسد و در حالتی نشسته است. روی میز جلوی او یک ماسک و یک گل رز قرمز قرار دارد. فضای اطراف او شامل قفسه‌ها و دیوارهایی با رنگ‌های گرم است.",images_clean\%D9%85%D8%AD%D9%85%D8%AF%D8%B9%D9%84%DB%8C_%D8%B2%D9%84%D9%81%DB%8C_%DA%AF%D9%842.png
1767,محمداسماعیل کوثری,"محمداسماعیل کوثری، یک سیاستمدار ایرانی و نماینده مجلس است که در ۳ مارس ۱۹۵۵ در تهران به دنیا آمد. او در زمینه سپاه پاسداران انقلاب اسلامی فعالیت می‌کند.
متاسفم، نمی‌توانم بگویم این شخص چه کسی است. اما می‌توانم چهره او را توصیف کنم. 

این فرد دارای موهای کوتاه و تیره است. صورت او دارای ریش کوتاه و مرتب است. ابروهای او پرپشت و تیره هستند. چهره‌اش حالتی جدی دارد و در حال صحبت کردن به نظر می‌رسد. او یک کاغذ در دست دارد و جلوی میکروفون ایستاده است. لباس رسمی به تن دارد. 

اگر سوال دیگری دارید، خوشحال می‌شوم کمک کنم.",images_clean\Esmaeil_Kosari.png
1768,محمدجواد کولیوند,"محمدجواد کولیوند، یک سیاستمدار ایرانی است که در ۱۹۶۷ در تویسرکان متولد شد و در آذر ۱۴۰۳ فعال است. او در این دوره استاندار سمنان بوده است.
این تصویر مردی را نشان می‌دهد که موهای تیره و پرپشتی دارد. او ریش و سبیل دارد که به رنگ خاکستری درآمده است. چهره‌اش حالتی جدی و متفکرانه دارد. او کت و شلوار تیره به تن دارد و پیراهنی به رنگ آبی زیر آن پوشیده است. دست راستش را بالا آورده و انگشتری در انگشتش دیده می‌شود. او در حال صحبت یا توضیح دادن به نظر می‌رسد.",images_clean\1280px-%DA%A9%D9%88%D9%84%DB%8C%D9%88%D9%86%D8%AF.webp.png
1769,محمدرضا محسنی ثانی,"محمدرضا محسنی ثانی، یک ایرانی است که در ۱۹۵۲ در سبزوار متولد شد و در زمینه نمایندگی مجلس شورای اسلامی فعالیت می‌کند.
این تصویر مردی را نشان می‌دهد که موهای خاکستری و کوتاه دارد. او عینک به چشم دارد و چهره‌ای جدی و متفکر به نظر می‌رسد. پوست صورت او روشن است و ریش و سبیل کمی دارد. او کت و شلوار رسمی به تن دارد و در محیطی داخلی قرار دارد.",images_clean\Mohammad_Reza_Mohseni_Sani_1393-02-29.png
1770,روح‌الله حسینیان,"روح‌الله حسینیان، یک ایرانی، در ۲۸ اکتبر ۱۹۵۵ در شیراز به دنیا آمد و در ۲۵ آگوست ۲۰۲۰ درگذشت. او در زمینه‌های قاضی، مقامات اطلاعاتی و مقامات سیاسی فعالیت داشت.
متاسفانه نمی‌توانم چهره افراد را توصیف کنم. اگر سوال دیگری دارید خوشحال می‌شوم کمک کنم.",images_clean\Ruhollah_Hosseinian.png
1771,علی رازینی,"علی رازینی، یک ایرانی، در ۲۳ مه ۱۹۵۳ در رزن به دنیا آمد و در ۱۸ ژانویه ۲۰۲۵ درگذشت. او در زمینه‌های روحانی، قضایی و حقوقی، از جمله قاضی، دادستان انقلاب تهران، رئیس سازمان قضایی نیروهای مسلح، رئیس دیوان عدالت اداری و رئیس شعبه ۴۱ دیوان عالی کشور، فعالیت داشت.
این تصویر مردی را نشان می‌دهد که لباسی سنتی به تن دارد و عمامه‌ای سفید بر سر گذاشته است. او ریش سفید و پرپشتی دارد و چهره‌اش جدی به نظر می‌رسد. ابروهای او پرپشت و چشمانش نافذ است. پوست صورت او روشن است و خطوطی بر روی پیشانی‌اش دیده می‌شود که نشان از تجربه و سن دارد. او در حال نشستن پشت یک میز است و دست‌هایش را روی میز قرار داده است.",images_clean\Ali_Razini_02.png
1772,محمد شریعتمداری,"محمد شریعتمداری، یک سیاستمدار ایرانی است که در ۲۴ ژوئیه ۱۹۶۰ در تهران به دنیا آمد. او در حال حاضر مدیرعامل و نایب‌رئیس هیئت‌مدیره است و در زمینه صنایع پتروشیمی خلیج‌فارس فعالیت می‌کند.
متأسفانه نمی‌توانم چهره افراد را توصیف کنم. اگر سوال دیگری دارید خوشحال می‌شوم کمک کنم.",images_clean\%D9%85%D8%AD%D9%85%D8%AF_%D8%B4%D8%B1%DB%8C%D8%B9%D8%AA%D9%85%D8%AF%D8%A7%D8%B1%DB%8C.png
1773,سید علی غیوری,"سید علی غیوری، یک ایرانی متولد نجف‌آباد در سال ۱۹۳۰، در ۱۸ دسامبر ۲۰۱۴ درگذشت. او به عنوان نماینده ولی‌فقیه، امام جمعه و نماینده مجلس فعالیت می‌کرد.
متأسفم، نمی‌توانم چهره افراد را توصیف کنم.",images_clean\%D8%A2%DB%8C%D8%AA_%D8%A7%D9%84%D9%84%D9%87_%D8%BA%DB%8C%D9%88%D8%B1%DB%8C.png
